price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
1775.2999,1783.2489,1779.2744,6859995717.0277,0.551,0.2651
1783.2489,1791.1978,1787.2234,9521606488.252,0.7648,0.3679
1791.1978,1799.1468,1795.1723,10672068282.5802,0.8572,0.4124
1799.1468,1807.0958,1803.1213,10345668384.9393,0.831,0.3998
1807.0958,1815.0447,1811.0703,11530292519.6626,0.9261,0.4455
1815.0447,1822.9937,1819.0192,11131826172.7924,0.8941,0.4301
1822.9937,1830.9427,1826.9682,12283460139.027,0.9866,0.4746
1830.9427,1838.8916,1834.9172,9440307908.1047,0.7583,0.3648
1838.8916,1846.8406,1842.8661,8614089928.6162,0.6919,0.3329
1846.8406,1854.7896,1850.8151,9119782019.972,0.7325,0.3524
1854.7896,1862.7385,1858.7641,8230765847.6409,0.6611,0.318
1862.7385,1870.6875,1866.713,10355805612.3507,0.8318,0.4002
1870.6875,1878.6365,1874.662,8819334313.9827,0.7084,0.3408
1878.6365,1886.5854,1882.611,8985510018.1074,0.7217,0.3472
1886.5854,1894.5344,1890.5599,9404273012.8129,0.7554,0.3634
1894.5344,1902.4834,1898.5089,10079072865.5375,0.8096,0.3895
1902.4834,1910.4323,1906.4579,9821892989.957,0.7889,0.3795
1910.4323,1918.3813,1914.4068,10575303535.4589,0.8494,0.4086
1918.3813,1926.3303,1922.3558,5367118308.6181,0.4311,0.2074
1926.3303,1934.2792,1930.3048,5701025620.4439,0.4579,0.2203
1934.2792,1942.2282,1938.2537,5338333798.4963,0.4288,0.2063
1942.2282,1950.1772,1946.2027,3723591974.2241,0.2991,0.1439
1950.1772,1958.1261,1954.1517,4128844901.5876,0.3316,0.1595
1958.1261,1966.0751,1962.1006,4980227486.8848,0.4,0.1924
1966.0751,1974.0241,1970.0496,5805559759.5118,0.4663,0.2243
1974.0241,1981.973,1977.9986,6029844530.9924,0.4843,0.233
1981.973,1989.922,1985.9475,5722060443.3871,0.4596,0.2211
1989.922,1997.871,1993.8965,4859770822.51,0.3903,0.1878
1997.871,2005.8199,2001.8455,4560308042.8589,0.3663,0.1762
2005.8199,2013.7689,2009.7944,4641557342.2119,0.3728,0.1794
2013.7689,2021.7179,2017.7434,5433537798.3432,0.4364,0.21
