price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
15.79,15.8614,15.8257,66784916.1522,0.1049,0.0868
15.8614,15.9328,15.8971,102801949.1847,0.1614,0.1337
15.9328,16.0042,15.9685,74488843.0986,0.1169,0.0968
16.0042,16.0757,16.04,78383492.8446,0.1231,0.1019
16.0757,16.1471,16.1114,44746169.9657,0.0703,0.0582
16.1471,16.2185,16.1828,121022249.5508,0.19,0.1573
16.2185,16.2899,16.2542,120337026.9148,0.1889,0.1564
16.2899,16.3614,16.3256,78474180.2176,0.1232,0.102
16.3614,16.4328,16.3971,101933652.3776,0.16,0.1325
16.4328,16.5042,16.4685,134293115.7353,0.2108,0.1746
16.5042,16.5756,16.5399,84230002.74,0.1322,0.1095
16.5756,16.647,16.6113,82065510.0618,0.1288,0.1067
16.647,16.7185,16.6827,114355185.0348,0.1795,0.1487
16.7185,16.7899,16.7542,70566624.4992,0.1108,0.0917
16.7899,16.8613,16.8256,80806332.9847,0.1269,0.1051
16.8613,16.9327,16.897,75975445.1854,0.1193,0.0988
16.9327,17.0041,16.9684,122257554.2865,0.1919,0.1589
17.0041,17.0756,17.0398,96435675.9485,0.1514,0.1254
17.0756,17.147,17.1113,80407074.3071,0.1262,0.1045
17.147,17.2184,17.1827,80646512.2563,0.1266,0.1048
17.2184,17.2898,17.2541,88330844.5223,0.1387,0.1148
17.2898,17.3612,17.3255,72187569.1714,0.1133,0.0939
17.3612,17.4327,17.397,133024596.682,0.2088,0.1729
17.4327,17.5041,17.4684,39434658.1227,0.0619,0.0513
17.5041,17.5755,17.5398,134249369.474,0.2108,0.1745
17.5755,17.6469,17.6112,144374837.978,0.2267,0.1877
17.6469,17.7183,17.6826,76708339.5247,0.1204,0.0997
17.7183,17.7898,17.7541,92484517.2469,0.1452,0.1202
17.7898,17.8612,17.8255,94772252.3038,0.1488,0.1232
17.8612,17.9326,17.8969,136473358.1411,0.2143,0.1774
17.9326,18.004,17.9683,112047266.3291,0.1759,0.1457
18.004,18.0754,18.0397,165789485.992,0.2603,0.2155
18.0754,18.1469,18.1112,128439779.1362,0.2016,0.167
18.1469,18.2183,18.1826,91607406.7247,0.1438,0.1191
18.2183,18.2897,18.254,71098593.2411,0.1116,0.0924
18.2897,18.3611,18.3254,85918680.1567,0.1349,0.1117
18.3611,18.4326,18.3968,108521796.7577,0.1704,0.1411
18.4326,18.504,18.4683,54422281.9762,0.0854,0.0708
18.504,18.5754,18.5397,99737656.3118,0.1566,0.1297
